gene_id,transcript_id,Gene_id,protein_id
YAL068C,NM_001180043.1,851229,NP_009332.1
YAL067W-A,NM_001184582.1,1466426,NP_878038.1
YAL067C,NM_001178208.1,851230,NP_009333.1
YAL065C,NM_001179897.1,851232,NP_009335.1
YAL064W-B,NM_001180042.1,851233,NP_009336.1
YAL064C-A,NM_001180041.1,851234,NP_058136.1
YAL064W,NM_001178206.2,851235,NP_009337.2
YAL063C-A,NM_001184642.1,1466427,NP_878039.1
YAL063C,NM_001178205.1,851236,NP_009338.1
YAL062W,NM_001178204.1,851237,NP_009339.1
YAL061W,NM_001178203.1,851238,NP_009340.1
YAL060W,NM_001178202.2,851239,NP_009341.2
YAL059W,NM_001178201.2,851240,NP_009342.2
YAL058W,NM_001178200.1,851241,NP_009343.1
YAL056W,NM_001178199.2,851243,NP_009345.3
YAL055W,NM_001178198.1,851244,NP_009346.1
YAL054C,NM_001178197.1,851245,NP_009347.1
YAL053W,NM_001178196.2,851246,NP_009348.2
YAL051W,NM_001178195.2,851247,NP_009349.3
YAL049C,NM_001178194.1,851248,NP_009350.1
YAL048C,NM_001178193.1,851249,NP_009351.1
YAL047C,NM_001178192.2,851250,NP_009352.2
YAL046C,NM_001178191.1,851251,NP_009353.1
YAL044W-A,NM_001184453.1,851252,NP_075206.1
YAL044C,NM_001178189.1,851254,NP_009355.3
YAL043C,NM_001178188.1,851255,NP_009356.1
YAL042W,NM_001178187.1,851256,NP_009358.1
YAL041W,NM_001178186.1,851190,NP_009359.1
YAL040C,NM_001178185.1,851191,NP_009360.1
YAL039C,NM_001178184.1,851192,NP_009361.1
YAL038W,NM_001178183.1,851193,NP_009362.1
YAL037C-A,NM_001184629.1,1466428,NP_878040.1
YAL037W,NM_001178182.1,851194,NP_009363.1
YAL036C,NM_001178181.1,851195,NP_009364.1
YAL035W,NM_001178180.1,851196,NP_009365.1
YAL034W-A,NM_001178179.1,851197,NP_009367.1
YAL034C,NM_001180035.1,851199,NP_009368.2
YAL033W,NM_001178178.1,851200,NP_009369.1
YAL032C,NM_001178177.1,851201,NP_009370.1
YAL031C,NM_001178176.1,851202,NP_009371.1
YAL030W,NM_001178175.1,851203,NP_009372.1
YAL030W,NM_001178175.1,851203,NP_009372.1
YAL029C,NM_001178174.1,851204,NP_009373.1
YAL028W,NM_001178173.1,851205,NP_009374.1
YAL027W,NM_001178172.1,851206,NP_009375.1
YAL026C,NM_001178171.2,851207,NP_009376.2
YAL025C,NM_001178170.2,851208,NP_009377.2
YAL024C,NM_001178169.1,851209,NP_009378.1
YAL023C,NM_001178168.1,851210,NP_009379.2
YAL022C,NM_001178167.1,851211,NP_009380.1
YAL021C,NM_001178166.1,851212,NP_009381.1
YAL020C,NM_001178165.2,851213,NP_009382.2
YAL019W,NM_001178164.1,851214,NP_009383.1
YAL018C,NM_001178163.1,851215,NP_009384.1
YAL017W,NM_001178162.2,851216,NP_009385.2
YAL016W,NM_001178161.1,851217,NP_009386.1
YAL015C,NM_001178160.1,851218,NP_009387.1
YAL014C,NM_001178159.1,851219,NP_009388.2
YAL013W,NM_001178158.2,851220,NP_009389.3
YAL012W,NM_001178157.1,851221,NP_009390.1
YAL011W,NM_001178156.1,851222,NP_009391.2
YAL010C,NM_001178155.2,851223,NP_009392.2
